project_id,contributor_count
77195768,24
41407332,24
65679180,16
1884014,30
9982829,30
96187319,22
49205409,30
127800541,14
88926246,7
5678356,13
21082618,30
53096921,30
53548598,17
19752594,30
35463836,29
26609170,0
88699966,13
42677921,30
21533496,30
117397972,11
87035895,0
558679,30
105635905,30
14259291,15
33514585,30
22046162,30
62513273,4
1444899,30
17902063,0
74710660,7
50788214,30
29689347,30
104461027,16
29030961,30
9473689,30
7439366,30
3596605,30
27427,30
26172924,30
52463,30
29066970,30
4026562,24
16223400,9
103634048,0
110525538,30
13742081,30
59573623,30
11598326,30
74790155,30
24303626,30
36616757,23
54210455,15
93597920,1
79055100,24
65241537,8
2783352,19
1366503,30
17725200,30
27404045,30
10559565,30
43636796,30
70401876,30
125702642,30
18659,30
11529295,15
20838634,30
45812041,30
32933808,30
16213689,10
3075777,30
22066338,30
21244550,30
2920580,19
13451254,30
245132,30
51822724,30
43412954,30
26423,30
38628431,30
74729328,22
2261680,30
3953365,12
31100678,30
11013070,30
8948476,30
9450339,30
80273554,30
92395935,16
36629533,11
15612008,30
25813988,30
128868654,8
17364274,30
31118150,30
11627445,30
10564118,30
51989215,30
88420219,19
20007018,30
44967,30
68665856,27
60118789,30
46101714,30
70366949,30
22045790,30
125339134,30
20369207,30
48968928,30
7266,30
91547,30
9427,30
8985694,30
65702049,30
14249377,30
55959798,30
95945486,12
36856626,9
41295977,30
1042895,30
52671530,30
108842784,7
50862842,0
78112227,25
86710101,16
55146401,30
21597,30
11644922,30
34978871,30
12828708,0
75466343,30
12274410,30
61269535,30
131666793,1
45685110,17
2346783,12
6228324,30
83653266,25
34201361,30
12602642,30
8286950,30
46763856,30
5057272,30
23725660,30
8778426,30
66574349,30
2249675,13
10581572,30
13040685,30
10741423,30
35533776,30
91292472,0
25021280,30
1417117,30
4369861,30
22089978,13
20045683,7
1967401,30
104747642,30
65566381,30
90175700,30
30831341,23
4390449,30
24914017,30
49389181,15
10170583,30
28204,30
37199795,30
87752902,6
71137747,0
44610943,23
86165599,30
29764680,20
56555428,30
1953184,30
56516743,0
59062447,30
87440819,30
1394906,30
152996,30
20629,30
76841020,30
19693908,19
17324625,30
9190510,30
56860389,16
101194268,23
4871204,30
20210057,12
4524570,30
9068348,0
93613877,30
2224956,30
9352549,15
65646957,27
24129827,30
63147831,7
11354443,30
72105588,9
59578213,30
4185415,30
26373298,30
98900682,30
35416635,30
29763292,30
3994,30
64532032,30
9938911,7
1912872,30
36775079,30
93659294,19
2864,30
25059223,13
72338506,30
96553,30
21660789,30
21739980,13
106505936,26
108996210,29
8366633,30
85223904,11
20810216,30
28008,30
13024837,10
68144555,16
21793813,30
11757844,30
78902256,29
90073,0
37772,30
58623914,9
101209,30
40697440,30
51908021,30
62345205,2
89856919,30
2367348,30
76459433,30
51958423,2
13134658,30
183726,30
8016868,30
58892460,30
2389408,30
4635269,15
1528515,30
128980,30
81728160,20
42790487,30
5767,30
608,30
2713033,30
63684999,30
22045678,30
53476352,30
24234075,30
123137527,30
27103449,30
116230969,30
50113672,30
100750579,26
31525657,30
17724541,19
19767436,30
19214148,0
79356437,16
13762,30
28605136,30
95920433,30
3574610,30
87722882,26
47461851,29
5817678,30
54410390,11
18162315,30
111895614,30
17010049,30
81859260,30
135705821,4
11852384,30
17766584,29
71779941,30
40920550,2
1648,30
19948759,30
97453003,19
6653643,30
98932040,30
41419541,30
37314162,0
109543057,4
54591695,30
76656797,30
31105011,30
48621963,21
40154090,30
69290113,30
14477484,30
2291113,30
6019810,30
4388701,30
61601666,30
4560965,30
11610797,30
169992,30
64988275,30
45618,30
327962,30
3754958,30
70634,30
29009810,30
20522143,30
28921203,5
42782728,30
8932041,30
9345057,30
11097989,30
73380926,30
37984326,24
9996988,30
94342482,30
26236424,10
38929,30
187172,30
12841,30
27699724,30
34453519,30
613,30
74737258,30
2221339,18
27903,30
31343224,30
8005997,30
76611976,30
49181379,30
33933907,30
6158557,30
27634001,30
123995160,26
32879688,30
8556399,30
32030755,30
32019895,13
16549060,30
382186,25
14247677,29
50786270,27
13418220,30
16743848,30
112744560,12
22084869,30
22105536,30
6845724,30
22185603,7
72351364,30
93575220,30
47503884,18
40147600,30
14771481,30
30797162,11
92934647,30
114967836,14
22082060,30
20773058,30
30544060,6
34485842,30
12003159,30
15434170,30
26141970,30
11136338,30
99710204,30
57625929,30
1346871,30
4866,30
2758428,20
41114422,12
4595404,24
11635554,30
22091907,30
8975154,18
1931310,30
77050966,12
3415286,0
27053633,14
5850034,30
82195177,30
13480812,14
33435155,30
16025157,30
12616951,30
59368437,9
60221533,30
79370746,30
121254115,30
115759775,6
18556801,30
116923465,14
43423398,30
1443919,19
8067512,8
46273,30
30917912,22
25778,30
68190300,4
40389,30
38641668,1
15162846,10
88943035,30
19084770,30
22401812,30
102713479,13
36350940,30
75822235,5
63192705,0
12326775,25
11910035,30
120620341,8
9033666,30
20276991,18
8374270,30
4280466,30
43013976,30
65473358,30
41729627,30
27749497,30
31322266,3
10961201,30
42790442,30
11181573,30
23599187,30
3075669,30
10049669,15
11668669,18
40227304,5
8538678,27
50337635,30
19916938,30
30505367,30
77061761,30
88653641,21
29699612,30
7689375,30
59151,30
10815238,30
48259641,30
391903,30
9777808,12
69929630,7
96166547,30
3201792,30
29949951,30
11511,30
6796604,30
52060982,30
91340753,18
2249947,30
19567380,30
2279725,30
88746302,19
22048372,8
44229794,30
8950098,30
31596290,30
101136493,30
17526738,30
60422205,30
3008,30
54551722,30
16874940,30
51979829,30
116108115,13
113715468,30
51618636,30
11126818,30
39143253,0
3360645,30
7001070,30
13071801,15
54387007,30
210280,20
52255620,23
1182,30
258245,30
19227943,30
22157647,23
7739548,30
7228519,30
108093674,30
22067448,6
18585337,30
13594686,0
12253,30
95855698,30
74602065,25
11025614,8
12713,30
22633372,30
14837717,26
32641897,30
31118030,30
3141847,28
62925165,30
19258,9
14072900,30
42855817,30
30940386,30
147172,30
16180909,6
32046380,30
20548815,30
49736238,17
36317322,30
26205213,4
47614124,30
160251,30
7176443,30
118184138,30
33118645,30
5579922,30
81951013,9
34269119,30
7659359,30
13951511,30
90299487,8
16609427,30
82398812,30
17282593,0
8929257,7
22745981,16
31173450,30
34121,30
44562165,24
27399930,30
116979531,16
12772926,30
52478784,30
110691704,0
14107118,30
123702988,30
1453177,30
9876959,11
20254256,30
66968,0
32315612,21
28963757,30
26511268,30
68207731,8
2618625,30
7170967,30
100079967,30
137065565,4
22042395,30
61764112,30
19506552,7
252,30
6226531,18
62034038,5
59932,30
46765257,30
50516692,30
23661770,10
73235251,30
3839922,30
22050734,14
48118509,30
4473333,30
125475674,30
93028903,18
85447210,5
7541333,29
38234894,30
22049281,30
37842188,22
8440937,27
110893547,30
11370004,29
71374,30
10429488,6
104900496,10
39225546,21
433601,30
51173387,30
16196175,30
10972151,20
28622080,30
14570651,30
60266141,30
7292977,30
3080,30
73036916,30
99354205,24
21936840,19
78012808,30
14682420,30
4894767,30
64630684,30
132177178,29
146,15
12562510,30
57924175,17
19414858,30
25897950,25
120872507,9
27314198,30
19614505,17
27122851,30
8408260,12
42116935,30
22198050,30
68142909,30
5912335,30
89443098,4
81821743,8
54649643,30
21113397,22
6678428,30
21123204,30
5815888,30
75842712,30
18254408,30
22042280,30
17133619,30
58298125,30
14676401,30
10937042,14
29902825,0
27392494,30
5516,30
79031511,20
57799793,30
40274748,30
99478525,17
100746873,1
19245353,30
60665658,30
49895,30
90101768,29
3486982,0
103635437,10
29167693,30
10252865,30
75466781,30
85102695,13
3700978,9
8978351,30
26388228,30
73388635,13
32764300,30
14843011,30
54428048,30
8263008,30
3497221,30
11341092,30
3468238,30
87806,30
5042636,30
38875632,30
19465552,30
31255800,30
21458435,30
50918,28
30853928,21
66748554,16
47664206,11
69245879,30
11459394,24
111256045,16
54136309,30
12203989,12
6153937,30
10603682,30
92043608,16
87529912,16
57792284,6
26052873,13
3486214,30
100981,21
19807382,30
114424935,4
18282554,30
19371,30
3981,30
635422,30
56048602,25
35378453,30
34198449,9
21617294,30
2847225,30
103820700,24
6883,30
1531853,25
57352125,11
11128151,30
48624723,30
6301,30
10980670,9
11825997,30
16136781,30
28003376,5
26051717,30
31784894,30
10475417,30
27375744,30
9438436,30
101807458,20
82680242,30
41758019,30
5342282,30
215558,30
11013658,13
6415918,30
119743791,5
9291544,27
137065294,5
7685276,30
100865253,30
22678742,30
90825,30
5216326,30
95342331,18
86868117,30
9553148,23
23426010,30
31849981,30
3453435,30
107759,30
7939528,30
4377291,25
99115969,30
17053995,30
10393750,30
59854327,30
7314471,30
129347193,30
11632684,26
92533623,30
4587395,30
11059041,30
29029177,0
127764478,30
27584127,3
13407424,30
3001,17
89227990,30
192858,30
3947065,30
104833201,30
50448562,30
10448622,30
24425318,30
52896026,30
3593169,30
56152030,30
38733234,18
85038134,21
119116536,30
19428,30
129895281,4
112284135,9
127417887,4
13860,30
3815119,30
29695887,30
125158372,21
94995359,8
21435,30
25213,30
1900359,27
42781138,23
22535841,12
134140715,1
31542772,30
108448966,15
31062204,30
65875832,30
9377835,6
8976140,30
57789211,30
10230767,30
31193726,30
1171201,30
77360977,10
3867,18
1377586,19
71334,30
5955,30
37843,30
40704008,30
423676,16
2705342,30
17924077,30
37508846,30
36731,30
1807463,22
20386,30
35462202,30
1692866,30
110520541,30
27361315,30
91480085,30
20449,30
13021,30
19621554,30
33993744,30
2644281,30
7747014,30
3936890,30
24314095,30
103968356,13
10402463,30
31436720,8
20502698,14
94045364,30
120560,30
115722763,10
132980385,0
42782343,30
82198174,21
83090684,30
61090700,30
20664928,30
17057591,30
75656279,14
63190988,30
10554422,30
120857781,9
20559945,0
42267590,30
72473078,18
5062667,30
32076440,30
95166770,7
48334,30
57364078,30
1891,30
94998499,18
49089384,30
29432423,16
55029748,30
6241868,30
100778527,30
97622786,22
50179411,30
43333411,30
37403786,8
6483396,30
14409840,30
7486322,19
29124716,30
46713374,13
75761036,22
101228431,30
40221919,30
75643073,30
58672265,25
2617457,30
138587,30
95108963,30
4376708,30
49664553,17
91133838,7
64490715,23
66371905,7
16544888,11
35606515,4
29973190,30
71245009,28
6029260,30
11704185,30
7834592,26
18610277,30
217162,30
47838894,30
47418326,30
6206321,30
120224013,30
75984,30
80763674,30
20865830,30
3497246,30
6063913,30
10586209,30
33620766,7
2752178,30
111500403,30
32733628,29
14005,30
13640359,12
201224,30
4785013,13
7195849,22
46792907,0
21907671,4
45947,30
61591668,19
109605022,28
44074374,0
23614548,30
72827403,30
40917106,30
121231272,0
69592,21
59351,30
59583131,30
79124411,30
27472304,26
39890,30
70677076,30
25025779,30
53281361,30
3173796,30
134931283,21
16234777,23
6017830,30
28576474,30
70764894,27
129488384,4
12132,30
705882,5
13001,30
1227086,30
10788607,30
36362533,30
79532311,18
36699739,30
124049741,1
42171106,30
18188577,20
1587865,30
21290769,30
79247634,30
1890699,30
90107505,24
607672,29
1619385,30
66576844,30
27499217,17
101194844,30
19164512,30
68005815,30
35322539,30
74838202,30
2288934,30
124068475,30
4922205,30
20215249,30
34957734,30
67497006,30
22993415,16
12791654,30
63759141,30
93284590,17
68536585,10
21891023,9
105503581,30
31282282,30
56202113,30
52649922,30
35475014,0
13550021,16
27433638,30
63823495,30
23507054,6
8229465,30
19193162,15
15120125,30
11602,30
165580,22
118893944,30
158753,30
68486666,23
43115031,30
29130790,17
124393183,0
67847962,30
1879783,30
12956084,21
31519580,30
19185,30
31989656,13
113528877,5
30489744,30
116904809,30
20068115,30
82812998,0
3829631,30
61676973,30
78568258,13
14407134,23
31776317,17
13471144,24
63180833,8
32606248,30
24999277,30
71513797,30
116395950,30
13376887,30
128467583,20
22903,30
76259902,30
76976344,30
25947815,30
35377440,30
13461473,30
57730313,27
2711532,30
10554425,30
4234,30
21883293,30
40818659,30
43409547,30
17900327,6
87095035,9
42937105,30
11623902,30
63775788,21
61737444,22
22044390,0
93526675,30
16021162,30
22177855,30
30884497,22
2386589,30
5142,30
115960912,30
83172029,30
2216,30
4235272,30
8408676,8
73212320,30
56449724,30
3406875,30
30142584,2
32170637,26
75060611,21
21166302,30
135483617,4
41092361,21
102719970,30
30219368,16
108312303,21
7465098,30
41523106,30
65565805,11
30126210,25
15985174,30
25776,30
6399078,11
116319015,30
26427893,29
120541697,2
29167159,30
15095643,30
20364539,30
390637,30
6547432,16
75476231,30
7803564,30
14226448,26
34754970,30
18208901,16
27719211,28
61173788,30
56104445,30
31454854,30
6783249,30
16476785,30
68381055,30
13762105,30
18865413,30
18055867,30
135969096,4
22051329,30
39755323,23
33444081,30
132939596,0
93071680,30
25866253,30
60478310,5
73017760,28
83458284,5
106852690,2
8923565,30
40782112,26
31477854,20
50657242,30
12034510,30
24910648,30
8889021,30
27519,30
24576260,10
30179460,12
100474974,30
15669926,2
11623105,30
107099651,4
27397799,30
27317552,30
75898599,30
48109228,30
22662382,30
28143053,6
7372037,30
1378410,29
34586356,30
17354488,30
51400381,30
72182358,21
2295066,17
10126,30
61568007,17
67114901,30
27960845,20
56328171,30
10532470,30
29380081,30
2294934,20
54129408,14
12164554,14
60381771,30
19424161,30
81833488,30
127718569,30
35466131,30
105503115,30
113553368,6
42885683,30
62972794,30
18138968,30
728153,30
53249986,30
117567029,30
27239647,30
51562044,30
23529458,30
5402577,30
91089057,22
64107263,17
27662891,30
18234238,6
13339387,30
2384439,26
122946245,30
23009877,7
160451,30
8922876,30
10664358,30
41412668,30
8102757,23
12971482,30
60461250,27
38549165,2
19488340,30
22051271,30
21075741,30
53244822,30
3394187,30
28136830,15
41496038,30
4352529,15
3049683,30
37088832,19
130938178,30
9762583,30
67781,30
86813163,30
77780350,30
9119930,30
79675789,18
92959194,13
5017372,30
7595330,26
1342853,30
7980743,30
96192205,30
58600272,17
58345,30
1933769,20
1544167,28
87223695,30
6672771,30
87480502,7
70002948,30
125481036,30
29182159,4
54205472,30
20844036,10
24168742,30
86514420,30
70697773,23
12800960,20
17772781,0
42343791,30
14849038,30
17664785,30
106530267,5
96726021,17
911100,30
64706300,30
1449,30
16013825,30
35683015,30
38480146,30
111380044,30
16827357,30
3301115,30
5398839,30
132633098,0
16719526,30
98872236,30
48329158,22
28572761,30
59745598,30
125290421,9
120533907,30
21225850,30
31064480,11
52673567,30
52061348,30
62294365,30
10567517,14
53231865,12
56036044,11
28866187,30
20041854,26
16112108,30
44502647,30
87959922,1
31674230,30
46432,16
23487525,30
233361,30
323615,30
119143278,13
10900789,14
42087658,30
9602116,18
17464562,25
90083155,30
55068,30
35263238,6
21636784,5
16130349,22
84549954,30
10650594,30
17911591,8
1965110,30
19958820,30
36748654,8
96947897,7
6117386,0
1960528,30
30010542,30
2994470,30
822535,30
19388130,30
83655060,2
133517072,0
37264408,18
19266983,30
7226727,30
105061142,7
13289,30
47510597,6
25904516,30
14083713,16
13749948,30
16770561,21
130420785,5
21715942,30
24990868,10
28044853,4
65550705,8
25207076,25
39627904,30
41677415,15
12582378,7
2311074,30
11500527,27
6689436,17
68908674,16
20839830,30
1841860,30
4713,30
31647492,30
67754705,30
21923602,14
367,30
16077002,30
26478390,10
62789947,9
45643962,30
22081510,30
100722,30
67787021,20
75424243,28
2740299,30
41309490,12
125606128,30
88878973,12
66353004,0
10572126,30
35285561,30
21748040,30
87906380,9
13598120,30
112623358,0
81106748,30
89011662,9
107050531,4
118272535,0
106951918,30
38701,30
22540632,3
199749,30
51724228,30
85214414,30
27720860,30
40726,30
28260,30
21670068,30
58593293,30
31212334,5
49794998,30
79527333,15
100878994,30
211981,30
77826275,0
8376617,30
10394777,30
13692913,30
56184226,16
5545271,30
21492691,30
8618028,24
39502501,30
114850473,30
27450794,30
10982706,30
10927423,30
576664,30
58981828,30
15430513,30
7673456,11
66125974,24
22062747,30
1356204,30
59765652,30
65006857,30
22283902,24
25955794,30
32023,30
7586797,30
14033229,3
56937471,9
129662534,4
123066760,30
30574417,5
5461092,30
12752196,30
3991395,30
24921680,20
11544287,30
6036293,30
11560529,28
25185708,30
28514697,30
119459353,20
7383645,30
31272206,8
212107,30
75650572,19
10925777,3
104863539,17
64908,27
3240873,30
19131782,30
987096,30
80399303,30
87440924,30
101411562,30
83899687,30
3489224,30
11637464,30
20155224,29
283541,16
6302840,30
35115295,2
107192119,6
11476784,30
65328888,30
10880945,11
2643841,13
2888,30
9264012,30
53727304,30
15043600,30
27261269,30
18769112,0
18199026,23
22514834,4
3616764,18
136655217,4
28629505,11
55007777,30
319220,30
65276186,8
43424,5
11742758,11
15330956,22
27623900,30
10942436,16
32503214,30
9580950,30
3929150,30
6979317,27
85195432,30
45430442,9
24987375,8
68391997,30
52691752,30
88172846,30
8970462,30
136282814,5
11690899,30
81130057,30
30021945,30
22065124,30
83990021,30
6125025,24
73682530,30
125673593,6
77176736,30
6058597,30
102929541,23
32378883,27
32508834,30
15123690,15
45945255,30
100999798,30
8890,30
28094152,30
35546272,18
17589,30
31986792,30
43427607,26
13555892,30
92104578,30
94845784,8
9663034,26
85225088,30
47576467,30
9796,30
29631187,0
33998771,21
59571631,30
52489684,30
42760273,28
14125087,28
97350110,18
71918188,30
109458350,30
24293,30
59581287,30
61603859,30
16389368,30
12450825,4
67808637,30
4998659,30
31185176,30
6830,30
10596345,30
27988855,30
10223189,30
68418023,30
